Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
1909137529307634,Shri Ram Janmotsav Samiti Bhilai,Shri Ram Janmotsav Samiti Bhilai,1182,3
608110255712437,Chandigarh Vibes,Punjab Modi Naal - ਪੰਜਾਬ ਮੋਦੀ ਨਾਲ,1169,2
106280695607208,Dr Ajay Kumar Singh,Dr Ajay Kumar Singh,1156,4
102439886275219,Akhilesh Kumar,Akhilesh Kumar,1149,9
0,Instagram User 8537977037,These ads ran without a disclaimer,1149,1
128475639423859,Jaewoo Machines,Jaewoo Machines,1148,2
100650678033445,Topgallant Media,Top Gallant Media,1139,1
225469604484322,"GI Tagged - Geographical Indications, India",GiTAGGED,1129,1
116019334925360,"ମଧୁ ଦାଦାଙ୍କ ସମର୍ଥକ, କଳାହାଣ୍ଡି",Jayanta Kumar Naik,1118,2
776811142445534,Neeraj Rajhans BJP,Neeraj Rajhans BJP,1110,2
243633052417235,Whispers In The Corridors,Whispers In The Corridors,1105,1
253189218220160,Smita Uday Wagh,Smita Uday Wagh,1096,1
101112053045206,Bharat Ka Sach,Bharat Ka Sach,1090,1
630955390420927,Amitabh Bajpai,Hari Om Tripathi,1075,4
101726242702714,"नया बिहार, NDA परिवार",Summit Polcom,1057,1
1425967014292699,Col Rajyavardhan Rathore,Rajya Vardhan Sangh,1056,5
309270543171260,Bansal News,Bansal News,1050,9
694910440580332,Renu Bisht,Renu Bisht,1044,1
596670310194747,Mahabodhi Mahavihara Movement,Mahabodhi Mahavihar Movement,1044,2
1684839268411808,Rajalakshmee Sanjay,Rajalakshmee Sanjay,1043,3
112783995126450,Dr. Saket Bhargava,Dr. Saket Bhargava,1040,3
536248122905741,Janta Feed,MarathwadaVani,1035,2
530789300122140,Thirudargal Munnetra Kazhagam,SIMPLESENSE ANALYTICS PRIVATE LIMITED,1019,1
0,Instagram User 4133833106,These ads ran without a disclaimer,1015,1
547333091794149,Chinna Dhaddhi,Chinna Dhaddhi,1012,2
295639383836442,Agewell Foundation,Agewell Foundation,1003,1
791496597580042,Miracles Academy Of Arts & Media Pvt.Ltd.,Miracles Academy Of Arts & Media Pvt.Ltd.,1002,1
375394599197605,Parvesh Sahib Singh,Parvesh Sahib Singh,987,11
264860923382637,Sagar Khandre for Bidar,Karnataka Times,987,1
433491466510399,Saket Bhargava,AdGlow Media,984,2
106779038451508,Rajbir Bhullar,Rajbir Bhullar,969,3
113788384928196,Rohit Sikaria,Rohit Sikaria,948,2
100879151388529,Lion Dr. Y Kiron,Lion Dr. Y Kiron,936,6
166634426875405,Pradeep Batra,Pradeep Batra,920,12
1507342689517989,Prem Sagar,ART Valley DigiTech,918,13
733928859987797,TJ GOVINDARAJAN,TJ GOVINDARAJAN,914,1
1725809400997648,Ashok Tiwari BJP,Ashok Tiwari BJP,909,10
170367986668084,Jaiveer singh,Jaiveer singh,892,6
102797398919050,Anbudan Anbil,Anbudan Anbil,889,2
160772677439499,CBM India,CBM India,888,3
126215203905280,Snetric Power,Snetric Power,881,2
108867764912685,Pushkal Gupta,Promoworks I.T Solutions,879,3
108492911417034,Satyam Srirangam - INC,Satyam Srirangam - INC,874,11
109761007457435,SriGanesh - Cantonment,SriGanesh - Cantonment,872,6
105651677725948,Bharat Khabar,Bharat Khabar,867,1
102927112109432,Priyal Bhardwaj,Priyal Bhardwaj,864,4
142859438904001,Voice of Arjun Singh,Voice of Arjun Singh,858,5
1644165492504830,Ramoji Gowda,Ramoji Gowda,857,15
223961711137476,Ramesh Bidhuri,Ramesh Bidhuri,856,1
103684989371369,Om Saini,Om Saini,856,4
106067217612056,Abhinay Bhumana,Abhinay Bhumana,850,1
246140576219935,MLA Deshraj Karanwal,MLA Deshraj Karanwal,848,2
285403455681355,Railway Children India,Railway Children India,848,2
107538225694864,Ramvir Singh Bidhuri,Ramvir Singh Bidhuri,847,1
